N: 100
H: 20.000000
W: 20.000000
Separation: 0.050000
Separation Strength: 0.010000
Alignment Strength: 0.100000
Cohesion Strength: 0.010000
Max Velocity: 5.000000
Final Time: 0.005000
Delta t: 0.001000
Frame Delta t: 0.001000
Filename: 04-27-2022_15-43-41.out
#,vX,vY,pX,pY


t = 0.000000
50,0.166774,-0.337520,7.868918,10.873896 
51,1.162341,-2.550567,19.887132,11.367410 
52,-0.999643,1.887459,19.663183,15.681663 
53,-1.120543,1.233336,6.880999,14.151844 
54,-1.247294,0.395728,15.119641,10.013654 
55,-3.082041,3.724155,7.734634,4.999109 
56,3.763480,-1.882177,11.074309,19.194564 
57,2.564891,-2.273051,18.854469,12.678982 
58,3.984455,-2.631287,14.119180,17.111473 
59,0.086590,0.665648,1.576845,16.018126 
60,2.979615,4.103746,1.003787,9.483917 
61,3.250522,-0.224240,8.490359,6.343328 
62,2.984009,3.076541,14.943110,8.898572 
63,-0.322335,0.306643,10.763284,1.625188 
64,3.783887,2.737098,13.675137,10.169321 
65,-1.185083,4.575487,18.065765,10.237722 
66,0.608708,0.845905,14.534142,15.121748 
67,-2.807410,1.962625,7.034252,12.245560 
68,-1.285440,-2.371864,17.706099,19.945673 
69,0.493580,0.825497,0.652040,5.315683 
70,0.356305,-0.091390,3.415413,8.674685 
71,4.252543,0.694495,10.832043,17.658993 
72,-2.534581,-1.570636,12.168226,0.665866 
73,-0.665905,-0.487229,0.608599,13.285762 
74,-3.648124,2.753947,6.759118,18.364623 
75,-1.300826,3.077334,0.968483,6.384443 
76,-0.367689,0.142990,19.602310,8.735872 
77,2.121919,0.209754,7.409197,1.957741 
78,1.410938,-1.391663,17.745351,7.158457 
79,-3.325344,-0.782573,13.194104,5.239380 
80,0.049850,-1.342591,4.988350,16.656683 
81,-0.603709,-0.495950,17.203006,4.204773 
82,2.313474,-0.492486,10.178037,15.049332 
83,-1.109157,1.096536,6.580838,7.643812 
84,0.400773,-0.479913,16.220639,10.295809 
85,-3.586710,0.006473,3.179498,18.175725 
86,0.051327,-1.904456,6.086345,14.865139 
87,0.369960,-4.414400,7.123121,7.572451 
88,0.418284,-0.599853,11.834222,6.076429 
89,0.133180,1.722355,4.233095,16.680827 
90,1.043802,1.880193,16.593226,8.583031 
91,-1.295687,3.106330,14.456428,9.559164 
92,4.337789,1.547509,19.828024,0.730954 
93,-2.222790,1.698512,12.398945,11.667016 
94,1.067929,1.859545,1.677055,6.544500 
95,3.683544,1.291965,19.973312,3.973549 
96,3.258652,2.810720,2.560150,10.526081 
97,-3.718963,-2.417947,18.463817,16.533379 
98,0.250745,-2.668814,5.895259,10.036968 
99,-3.433699,0.864305,2.981632,12.594785 


t = 0.003000
0,2.487847,1.045297,3.879989,6.421665 
1,-3.875604,-1.237762,7.605702,3.744649 
2,-0.549067,-1.983613,0.766061,9.644039 
3,0.594048,0.119002,0.689383,12.953824 
4,3.276260,3.904459,6.883507,19.775290 
5,0.459721,3.887204,2.609783,8.956861 
6,2.269311,0.528578,0.393463,19.676910 
7,-0.362460,1.289903,11.136449,16.495585 
8,0.603389,-0.479169,18.879067,13.977345 
9,-3.012914,1.286863,14.811846,3.821726 
10,0.521715,-0.174975,5.502260,1.505654 
11,-2.479452,-2.000393,16.431586,2.642303 
12,-1.380151,-4.288634,8.744149,7.394442 
13,-2.419863,3.345072,3.400874,14.280979 
14,1.040292,1.253824,16.439662,11.335718 
15,-0.239381,-3.683345,14.228400,4.564316 
16,3.957449,3.403768,0.443246,5.451741 
17,-0.948468,-1.083011,12.501205,18.759138 
18,1.349171,-0.562037,6.581809,2.016344 
19,-1.090835,0.725947,9.446773,8.100526 
20,0.000852,0.244916,6.947408,18.660801 
21,-1.236604,1.766886,6.362946,2.643640 
22,-0.631476,0.299252,12.163486,5.102356 
23,1.415489,-1.105090,13.512353,5.373234 
24,-4.288192,-1.935546,11.949940,8.203658 
25,-1.360989,-2.682278,5.804457,14.580821 
26,-1.702687,-3.404947,1.569631,12.202576 
27,0.266322,0.361578,3.876131,19.834006 
28,0.923902,-0.613427,5.863307,9.013431 
29,0.249776,-0.207243,17.038331,7.396536 
30,-1.963434,-0.677056,5.871475,15.183265 
31,-0.042299,0.116847,10.162491,12.331376 
32,0.968885,4.260789,11.721831,12.756340 
33,-1.561732,-0.073569,10.421628,11.060176 
34,1.329018,-1.408387,10.563323,19.564848 
35,-3.009540,1.713545,18.788008,17.198017 
36,-0.041966,-0.046632,9.878045,11.918699 
37,-2.273148,3.962728,15.940209,17.284800 
